Unnamed: 0,Close,Open,High,Low,Oi,Volume
2010-01-04,4579.0,4579.0,4579.0,4579.0,965458.0,1809996.0
2010-01-05,4600.31331,4600.31331,4600.31331,4600.31331,861826.0,1400660.0
2010-01-06,4700.751128,4700.751128,4700.751128,4700.751128,1721066.0,4103068.0
2010-01-07,4641.732651,4641.732651,4641.732651,4641.732651,1909824.0,5742078.0
2010-01-08,4630.58352,4630.58352,4630.58352,4630.58352,1897498.0,7529356.0
2010-01-11,4664.864105000001,4664.864105000001,4664.864105000001,4664.864105000001,1895478.0,7516398.0
2010-01-12,4709.580473000001,4709.580473000001,4709.580473000001,4709.580473000001,1977066.0,7709590.0
2010-01-13,4732.345169,4732.345169,4732.345169,4732.345169,2050220.0,7493732.0
2010-01-14,4717.8787170000005,4717.8787170000005,4717.8787170000005,4717.8787170000005,2042524.0,7454638.0
2010-01-15,4703.500037,4703.500037,4703.500037,4703.500037,2148914.0,8341652.0
2010-01-18,4689.033585,4689.033585,4689.033585,4689.033585,2141218.0,8302558.0
2010-01-19,4684.397411,4684.397411,4684.397411,4684.397411,1989884.0,8777182.0
2010-01-20,4722.513337,4722.513337,4722.513337,4722.513337,1780184.0,8833436.0
2010-01-21,4736.947934,4736.947934,4736.947934,4736.947934,1804610.0,8263546.0
2010-01-22,4739.6305919999995,4739.6305919999995,4739.6305919999995,4739.6305919999995,1879964.0,7928132.0
2010-01-25,4753.305472,4753.305472,4753.305472,4753.305472,2045806.0,8907080.0
2010-01-26,4757.755091999999,4757.755091999999,4757.755091999999,4757.755091999999,1900500.0,8784870.0
2010-01-27,4813.979114,4813.979114,4813.979114,4813.979114,2075306.0,9184202.0
2010-01-28,4854.099732,4854.099732,4854.099732,4854.099732,2234228.0,9350264.0
2010-01-29,4859.364045,4859.364045,4859.364045,4859.364045,2258368.0,9798448.0
2010-02-01,4875.145629,4875.145629,4875.145629,4875.145629,2286910.0,9540226.0
2010-02-02,4914.569516,4914.569516,4914.569516,4914.569516,2398962.0,9641728.0
2010-02-03,4917.951531999999,4917.951531999999,4917.951531999999,4917.951531999999,2413394.0,9476118.0
2010-02-04,4954.614524999999,4954.614524999999,4954.614524999999,4954.614524999999,2348694.0,9687634.0
2010-02-05,4953.769020999999,4953.769020999999,4953.769020999999,4953.769020999999,2357580.0,9757644.0
